instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.345e-07, above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-755.7152331580163,-755.71521774,1.5418016346302466e-05,2.040188682770043e-08,0,1,,0,0.107674,0.0406939,661,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.0655956116,172790.96547,0.10012561161420308,5.794609188151501e-07,1,1,,1,0.115603,0.0611059,643,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.164156,0.1004272,1622,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,10.580831,10.313783,30210,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722042,-664.21873953,0.00022174220418946788,3.338391270718623e-07,1,1,,1,0.058651,0.0345976,1041,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,numerical_error,basis became singular at iteration 577,0.0,-106870941.29,106870941.29,1.0,0,,,0,0.150988,0.1255429,577,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.4825622,-160834336.48,0.002562224864959717,1.5930832439367408e-11,1,1,,1,0.190493,0.1533951,1246,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 1.996e-07, above the 1.0e-07 tolerance; it is not a feasible point",-47787811.81471119,-47787811.815,0.00028880685567855835,6.043525424361562e-12,0,,,0,0.037187,0.0115541,297,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.036205,0.012285,251,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.900129906206,-1749.9001299,6.206164471223019e-09,3.546582096418084e-12,1,1,,1,0.02375,0.0014245,71,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.26470606188002,-25.264706062,1.1997869364677172e-10,4.7488656053366325e-12,1,1,,1,0.033619,0.0041627,261,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,numerical_error,basis became singular at iteration 998,0.0,-2581.1392641,2581.1392641,1.0,0,,,0,0.1828,0.1438344,998,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.024729,0.0013485,49,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.032622,0.0063828,107,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.202061211707225,-52.202061212,2.927720288425917e-10,5.608438096986301e-12,1,1,,1,0.047612,0.0151451,255,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.021335,0.0009014,46,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-70.00000000000003,-70.0,2.842170943040401e-14,4.0602442043434295e-16,1,1,,1,0.022356,0.0008363,50,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.060768528,-14753433.061,0.00023147277534008026,1.5689417804183323e-11,1,1,,1,0.070379,0.0395643,591,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.8243309837,-2331389.2548,0.5695309834554791,2.4428824242150705e-07,1,1,,1,0.031642,0.0023319,159,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,optimal,,18416.759028348937,18416.759028,3.4893673728220165e-07,1.89466961451629e-11,1,1,,1,0.084153,0.0516113,648,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.124822738107,1878.1248227,3.810691850958392e-08,2.0289875331502864e-11,1,1,,1,0.035579,0.0076362,323,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538007918,904.29998619,0.003032389208215136,3.3533000713526593e-06,0,1,,0,0.06126,0.0314661,645,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666674333364,8.6666666743,3.3363534157615504e-11,3.8496385532573e-12,1,1,,1,0.03784,0.0086262,534,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000007826238,50.500000078,2.623821160341322e-10,5.1956854579974005e-12,1,1,,1,0.067732,0.0350088,627,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,optimal,,904.9999999254647,904.99999993,4.535195330390707e-09,5.011265558830382e-12,1,1,,1,0.133535,0.0932016,926,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,,1412.25,1412.25,0.0,0.0,1,1,,1,0.038296,0.0064732,303,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,optimal,,-76589.31857918552,-76589.318579,1.85522367246449e-07,2.4223007945303396e-12,1,1,,1,0.045374,0.0084982,207,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414174,-415.73224074,1.4173906492942479e-09,3.409383517552798e-12,1,1,,1,0.030879,0.0019654,114,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,,1793324.537970356,1793324.538,2.964399755001068e-05,1.6530191229676178e-11,1,1,,1,0.081125,0.0337825,511,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,,1798714.7004453922,1798714.7004,4.5392196625471115e-05,2.5235906848026957e-11,1,1,,1,0.042146,0.0117682,385,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,optimal,,-251.26695119299632,-251.26695119,2.996330294990912e-09,1.1924888174908381e-11,1,1,,1,1.064024,1.0292052,978,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,,1257.6995,1257.6995,0.0,0.0,1,1,,1,0.0443,0.0043868,53,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,,1406.0175,1406.0175,0.0,0.0,1,1,,1,0.058525,0.0128956,193,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.976219436416,-41131.976219,4.3641921365633607e-07,1.0610217494357637e-11,1,1,,1,0.043505,0.0037777,68,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
tuff,768782d2ab2d7d044061f56ba54ddd53cf5ea0666a965edd33d48803098e15e2,333,587,4520,optimal,,0.29214776509361245,0.29214776509,3.6124436775253344e-12,3.6124436775253344e-12,1,1,,1,0.116553,0.0778215,969,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
wood1p,af3cac48f0727f1d9e1f1ecfa6de30168678800b39e38a808b5df90a48d61330,244,2594,70215,optimal,,1.4429024115734088,1.4429024116,2.659117370740205e-11,1.842894813511035e-11,1,1,,1,0.254654,0.149465,836,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
